27.0	1	1	0
46.57905544	2	0	1
28.0	1	1	0
27.0	2	1	0
30.0	2	1	0
63.4449008	2	0	1
26.0	1	1	0
41.71937029	2	0	1
31.0	2	1	0
30.0	2	1	0
29.0	1	1	0
23.0	1	1	0
27.0	1	1	0
26.0	2	1	0
31.0	2	1	0
73.60438056	1	0	1
48.7939767	1	0	1
35.0	2	1	0
62.50513347	2	0	1
28.0	1	1	0
24.0	1	1	0
30.0	2	1	0
64.66255989	2	0	1
23.0	2	1	0
32.0	1	1	0
24.0	2	1	0
26.0	1	1	0
73.5633128	1	0	1
24.0	1	1	0
57.6776181	1	0	1
36.42162902	2	0	1
25.0	1	1	0
34.0	1	1	0
31.13483915	1	0	1
23.0	2	1	0
28.0	2	1	0
34.0	2	1	0
25.0	2	1	0
33.0	2	1	0
25.2128679	2	0	1
27.0	2	1	0
29.0	2	1	0
28.0	2	1	0
27.0	2	1	0
30.0	1	1	0
23.0	1	1	0
24.0	2	1	0
29.0	2	1	0
62.45585216	2	0	1
70.2477755	2	0	1
47.72347707	1	0	1
23.0	1	1	0
24.0	1	1	0
27.38398357	1	0	1
25.0	2	1	0
30.18206708	2	0	1
26.0	2	1	0
28.0	1	1	0
30.0	2	1	0
40.3613963	2	0	1
26.0	2	1	0
33.0	1	1	0
23.0	1	1	0
32.0	2	1	0
31.0	1	1	0
52.53114305	1	0	1
34.23682409	2	0	1
30.0	1	1	0
62.6160164	2	0	1
28.0	2	1	0
52.12867899	2	0	1
27.0	1	1	0
31.0	2	1	0
32.0	1	1	0
28.0	2	1	0
28.0	2	1	0
29.0	2	1	0
29.0	2	1	0
30.0	2	1	0
34.0	2	1	0
26.0	2	1	0
40.3559206	2	0	1
35.0	2	1	0
23.0	2	1	0
20.92813142	2	0	1
26.0	2	1	0
22.0	2	1	0
75.97262149	2	0	1
29.0	2	1	0
24.0	1	1	0
25.0	1	1	0
72.26557153	1	0	1
33.0	1	1	0
30.11909651	1	0	1
32.0	1	1	0
32.0	2	1	0
28.0	2	1	0
25.0	1	1	0
30.0	2	1	0
38.7816564	1	0	1
30.0	1	1	0
28.0	2	1	0
31.0	1	1	0
53.41273101	2	0	1
66.52703628	2	0	1
25.0	1	1	0
23.0	2	1	0
26.0	2	1	0
27.0	1	1	0
24.87611225	1	0	1
26.0	2	1	0
22.0	2	1	0
27.0	1	1	0
29.0	2	1	0
25.0	1	1	0
29.0	2	1	0
30.0	2	1	0
25.0	1	1	0
28.47638604	2	0	1
22.0	1	1	0
24.0	1	1	0
